species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Rhynchobatus djiddensis,9.795094,80.060471,,Rhynchobatus djiddensis,Chordata,Elasmobranchii,Rhinopristiformes,Rhinidae,Rhynchobatus
Primovula formosa,9.25,79.3333358765,1850-07-02T12:00:00Z,Primovula formosa,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Primovula
Globigerinoides conglobatus,9.133,90.033,1969-05-12,Globigerinoides conglobatus,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinoides
Cossura coasta,8.99,75.99,2009-06-03,Cossura coasta,Annelida,Polychaeta,,Cossuridae,Cossura
Serratosagitta pacifica,12.87,94.22,1959/1965,Serratosagitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta
Plotosus lineatus,11.0,79.9000015259,1966-09-23T12:00:00Z,Plotosus lineatus,Chordata,Teleostei,Siluriformes,Plotosidae,Plotosus
Candacia bradyi,19.5333,71.55,1976-10-11T23:00:00Z,Candacia bradyi,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia
Ferosagitta robusta,17.1800003052,70.1699981689,,Ferosagitta robusta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Pseudomacrochiron ornatum,13.092499733,80.2944412231,1952-07-02T00:00:00Z,Pseudomacrochiron ornatum,Arthropoda,Copepoda,Cyclopoida,Macrochironidae,Pseudomacrochiron
Nassarius pullus,8.5,79.0,,Nassarius pullus,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius
Halocypris inflata,18.5,70.75,,Halocypris inflata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Halocypris
Conus pennaceus,8.75,82.5,,Conus pennaceus,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus
Microcythere subterranea,15.0,90.0,,Microcythere subterranea,Arthropoda,Ostracoda,Podocopida,Microcytheridae,Microcythere
Oxyurichthys microlepis,21.417,91.983,,Oxyurichthys microlepis,Chordata,Teleostei,Gobiiformes,Gobiidae,Oxyurichthys
Siriella gracilis,10.0,90.0,2002-09,Siriella gracilis,Arthropoda,Malacostraca,Mysida,Mysidae,Siriella
Exogone heterosetosa,8.944444444,76.11111111,2005-01,Exogone heterosetosa,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone
Globigerinoides tenellus,9.133,90.033,1969-05-12,Globigerinoides tenellus,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinoides
Dascyllus reticulatus,8.27,73.05,1969/1980,Dascyllus reticulatus,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Dascyllus
Anodontostoma chacunda,21.8284425,89.1949998,2023-01-08,Anodontostoma chacunda,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Anodontostoma
Deveximentum ruconius,12.5,80.0,,Deveximentum ruconius,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Deveximentum
Chloeia rosea,21.6472225189,87.6333312988,,Chloeia rosea,Annelida,Polychaeta,Amphinomida,Amphinomidae,Chloeia
Amphioplus (Lymanella) depressus,20.7,70.3,1963,Amphioplus (Lymanella) depressus,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus
Nusuttodinium poecilochroum,21.703926,89.2610127,2023-01-09,Nusuttodinium poecilochroum,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium
Padina pavonica,8.483334,78.11667,1960,Padina pavonica,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Padina
Psamathe cirrhata,9.922222222,75.86666667,2005-01,Psamathe cirrhata,Annelida,Polychaeta,Phyllodocida,Hesionidae,Psamathe
Iconometra intermedia,10.0,93.0,,Iconometra intermedia,Echinodermata,Crinoidea,Comatulida,Colobometridae,Iconometra
Oolithotus fragilis,13.083,73.883,1965-02-14,Oolithotus fragilis,Haptophyta,Coccolithophyceae,Coccolithales,Calcidiscaceae,Oolithotus
Porrocaecum angusticolle,18.975,72.825836,,Porrocaecum angusticolle,Nematoda,Chromadorea,Rhabditida,Ascarididae,Porrocaecum
Pseudoconchoecia concentrica,18.9200000763,91.0,,Pseudoconchoecia concentrica,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Pseudoconchoecia
Globigerina bulloides,15.5895,68.5795,1995-10-15,Globigerina bulloides,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerina
Sargassum marginatum,16.293368130974,84.102718975153,,Sargassum marginatum f. cannanorense,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Metopograpsus thukuhar,8.5,79.0,1839,Metopograpsus thukuhar,Arthropoda,Malacostraca,Decapoda,Grapsidae,Metopograpsus
Anguilla bicolor,11.983,79.833,,Anguilla bicolor,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla
Kirkegaardia dorsobranchialis,8.99,75.99,2009-08-14,Kirkegaardia dorsobranchialis,Annelida,Polychaeta,Terebellida,Cirratulidae,Kirkegaardia
Lucicutia ovalis,20.0833,68.8667,1976-10-08T13:00:00Z,Lucicutia ovalis,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia
Pinguitellina robusta,11.0,72.5,1844,Pinguitellina robusta,Mollusca,Bivalvia,Cardiida,Tellinidae,Pinguitellina
Bulla ampulla,8.75,78.2,1964-01,Bulla ampulla,Mollusca,Gastropoda,Cephalaspidea,Bullidae,Bulla
Sargassum aquifolium,8.08333301544,77.5666656494,1820-07-02T00:00:00Z,Sargassum aquifolium,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Neocytheretta murilineata,12.83,80.25,1995/1996,Neocytheretta murilineata,Arthropoda,Ostracoda,Podocopida,Trachyleberididae,Neocytheretta
Paracytheridea pseudoremanei,12.15666667,75.10972222,2007,Paracytheridea pseudoremanei,Arthropoda,Ostracoda,Podocopida,Paracytherideidae,Paracytheridea
Sargassum swartzii,22.6000003815,69.5,1820-07-02T00:00:00Z,Sargassum swartzii,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Molpadia polymorpha,15.6333332062,82.5,1905-07-02T12:00:00Z,Molpadia polymorpha,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia
Trypauchen vagina,11.983,79.833,,Trypauchen vagina,Chordata,Teleostei,Gobiiformes,Gobiidae,Trypauchen
Globigerina bulloides,10.2,95.05,,Globigerina bulloides,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerina
Cleantioides natalensis,21.6472225189,87.6333312988,,Cleantioides natalensis,Arthropoda,Malacostraca,Isopoda,Holognathidae,Cleantioides
Delavalia mixta,10.0,93.0,,Delavalia mixta,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Delavalia
Chanda nama,25.328,82.967,1956-10-19,Chanda nama,Chordata,Teleostei,Ovalentaria incertae sedis,Ambassidae,Chanda
Pleurostomella alternans,9.0292,72.8778,1972-03-10,Pleurostomella alternans,Foraminifera,Nodosariata,Polymorphinida,Pleurostomellidae,Pleurostomella
Ceratodictyon variabile,22.4833335876,69.0999984741,1895-07-02T12:00:00Z,Ceratodictyon variabile,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Ceratodictyon
Parascolopsis townsendi,15.48,73.79,2005-05-12/2008-11-28,Parascolopsis townsendi,Chordata,Teleostei,Eupercaria incertae sedis,Nemipteridae,Parascolopsis
Eubleekeria jonesi,10.0,93.0,1971,Eubleekeria jonesi,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Eubleekeria
Aspidosiphon (Paraspidosiphon) tenuis,10.0,93.0,,Aspidosiphon (Paraspidosiphon) tenuis,Annelida,,Sipuncula,Aspidosiphonidae,Aspidosiphon
Trilobatus sacculifer,14.763,70.058,,Trilobatus sacculifer,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Trilobatus
Nerita maura,9.233334,79.23333,1842,Nerita maura,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita
Dunckerocampus dactyliophorus,10.0,93.0,1853-07-02T12:00:00Z,Dunckerocampus dactyliophorus,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Dunckerocampus
Cossura coasta,10.8165,75.233,2007,Cossura coasta,Annelida,Polychaeta,,Cossuridae,Cossura
Parvocalanus latus,13.65,70.7333,1973-09-03T17:40:12Z,Parvocalanus latus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Parvocalanus
Cibicides pseudolobatulus,14.4799,80.9928,2004/2008,Cibicides pseudolobatulus,Foraminifera,Globothalamea,Rotaliida,Cibicididae,Cibicides
Cerconeotes waltairensis,17.716667,83.333336,1969,Cerconeotes waltairensis,Arthropoda,Copepoda,Harpacticoida,Leptastacidae,Cerconeotes
Subeucalanus crassus,19.30113333,84.96684444,2010,Subeucalanus crassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Naria erosa,33.25,75.02,1964-01-20,Naria erosa,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Naria
Propeamussium steindachneri,17.58,83.42,1963-04-28,Propeamussium steindachneri,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Propeamussium
Pyrosoma ovatum,8.5,79.0,1909,Pyrosoma ovatum,Chordata,Thaliacea,Pyrosomatida,Pyrosomatidae,Pyrosoma
Goniopora lobata,10.0,93.0,1851-07-02T12:00:00Z,Goniopora lobata,Cnidaria,Hexacorallia,Scleractinia,Poritidae,Goniopora
Pulleniatina obliquiloculata,9.133,90.033,1969-05-12,Pulleniatina obliquiloculata,Foraminifera,Globothalamea,Rotaliida,Pulleniatinidae,Pulleniatina
Ophiuroglypha kinbergi,9.932333333,76.00066667,2009-08-08,Ophiuroglypha kinbergi,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiuroglypha
Osteogeneiosus militaris,19.9500007629,72.7667007446,,Osteogeneiosus militaris,Chordata,Teleostei,Siluriformes,Ariidae,Osteogeneiosus
Thormora jukesii,11.0,72.5,1865-07-02T12:00:00Z,Thormora jukesii,Annelida,Polychaeta,Phyllodocida,Polynoidae,Thormora
Subeucalanus subcrassus,20.9333,89.4,1971-06-26T17:00:00Z,Subeucalanus subcrassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Pseudo-nitzschia seriata,16.2551,69.9113,2009-02-16/2009-02-23,Pseudo-nitzschia seriata,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia
Amphiophiura concava,9.583,73.608,1895,Amphiophiura concava,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Amphiophiura
Chaetoceros decipiens,9.423055556,76.32805556,2006/2008,Chaetoceros decipiens,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros
Serratosagitta pacifica,17.6000003815,68.0,,Serratosagitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta
Euterpina acutifrons,17.0,91.5167,1971-11-15T11:45:00Z,Euterpina acutifrons,Arthropoda,Copepoda,Harpacticoida,Tachidiidae,Euterpina
Quinqueloculina agglutinans,10.8500003815,72.1833343506,1839-07-02T12:00:00Z,Quinqueloculina agglutinans,Foraminifera,Tubothalamea,Miliolida,Hauerinidae,Quinqueloculina
Acanthopagrus datnia,21.7565804,89.2230174,2023-01-08,Acanthopagrus datnia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Acanthopagrus
Armandia intermedia,9.9575,79.18388889,2007/2008,Armandia intermedia,Annelida,Polychaeta,,Opheliidae,Armandia
Pegasus volitans,21.919215,88.083333,,Pegasus volitans,Chordata,Teleostei,Dactylopteriformes,Pegasidae,Pegasus
Epinephelus latifasciatus,10.26666667,79.85,2003,Epinephelus latifasciatus,Chordata,Teleostei,Perciformes,Epinephelidae,Epinephelus
Aluterus monoceros,11.9829998016,79.8330001831,,Aluterus monoceros,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus
Dinophysis hastata,15.389,83.73,2001/2002,Dinophysis hastata,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis
Sargassum aquifolium,11.033333,79.85,1848,Sargassum aquifolium,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Bolivinellina translucens,23.68,68.5,1994/1995,Bolivinellina translucens,Foraminifera,Globothalamea,Rotaliida,Bolivinitidae,Bolivinellina
Iniistius pavo,11.0,72.5,1840,Iniistius pavo,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Iniistius
Escualosa thoracata,21.827841,89.1954232,2023-01-08,Escualosa thoracata,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Escualosa
Zoanthus sociatus,21.11666667,70.11666667,2007/2009,Zoanthus sociatus,Cnidaria,Hexacorallia,Zoantharia,Zoanthidae,Zoanthus
Pericharax heteroraphis,10.0,93.0,1883,Pericharax heteroraphis,Porifera,Calcarea,Clathrinida,Leucettidae,Pericharax
Prionotus stearnsi,27.0,94.0,1956-09-05,Prionotus stearnsi,Chordata,Teleostei,Perciformes,Triglidae,Prionotus
Gomophia egyptiaca,11.0232333,93.5001167,2017-11-18,Gomophia egyptiaca,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Gomophia
Paracalanus aculeatus,18.7167,72.2833,1969-09-28T08:19:48Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Leucothoe furina,15.0,90.0,1816-07-02T00:00:00Z,Leucothoe furina,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe
Chondrilla australiensis,9.0972,78.5399,2017/2020,Chondrilla australiensis,Porifera,Demospongiae,Chondrillida,Chondrillidae,Chondrilla
Acrocalanus gibber,18.5667,71.8667,1967-06-28T08:30:00Z,Acrocalanus gibber,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus
Pterois russelii,15.216667,95.383333,1963-03-31,Pterois russelii,Chordata,Teleostei,Perciformes,Scorpaenidae,Pterois
Parheteromastus tenuis,21.0,70.0,1999/2002,Parheteromastus tenuis,Annelida,Polychaeta,,Capitellidae,Parheteromastus
Rasbora rasbora,22.339841,88.516122,1937-04-14,Rasbora rasbora,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rasbora
Coilia dussumieri,21.827841,89.1954232,2023-01-08,Coilia dussumieri,Chordata,Teleostei,Clupeiformes,Engraulidae,Coilia
Clausocalanus furcatus,8.8833,82.8167,1972-07-13T06:30:00Z,Clausocalanus furcatus,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
Cloridopsis scorpio,13.092499733,80.2944412231,,Cloridopsis scorpio,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Cloridopsis
Diploneis littoralis,9.99,76.24,2003/2004,Diploneis littoralis,Heterokontophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
Zonosagitta pulchra,12.0,81.0,,Zonosagitta pulchra,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Zonosagitta
Photobacterium leiognathi,18.001,89.451,2015-09-12,Photobacterium leiognathi,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Paraconchoecia oblonga,17.3999996185,71.3700027466,,Paraconchoecia oblonga,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia
Stolephorus waitei,21.7548897,89.28418,2023-01-09,Stolephorus waitei,Chordata,Teleostei,Clupeiformes,Engraulidae,Stolephorus
Paracalanus aculeatus,21.1167,89.5667,1971-06-26T20:04:48Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Acanthopagrus datnia,21.7039313,89.2610014,2023-01-09,Acanthopagrus datnia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Acanthopagrus
Glycera papillosa,12.1425,80.3675,2008/2011,Glycera papillosa,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
Cardisoma carnifex,12.5,92.75,,Cardisoma carnifex,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Cardisoma
Trilobatus sicanus,9.0292,72.8778,1972-03-10,Trilobatus sicanus,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Trilobatus
Oithona simplex,16.5629997253,88.4150009155,1976-02-16T12:00:00Z,Oithona simplex,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
Pareucalanus attenuatus,19.3667,69.1167,1976-10-10T05:00:00Z,Pareucalanus attenuatus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Pareucalanus
Atlanta plana,14.5666666667,73.4166666667,,Atlanta plana,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta
Glyphocrangon smithii,13.31975,93.262,2017-11-26,Glyphocrangon smithii,Arthropoda,Malacostraca,Decapoda,Glyphocrangonidae,Glyphocrangon
Ferosagitta ferox,15.0699996948,95.8499984741,,Ferosagitta ferox,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Setipinna tenuifilis,21.7547399,89.2839957,2023-01-09,Setipinna tenuifilis,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Deveximentum insidiator,18.863909,72.840508,,Deveximentum insidiator,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Deveximentum
Megalaspis cordyla,19.7666664124,85.3333358765,1758-07-02T12:00:00Z,Megalaspis cordyla,Chordata,Teleostei,Carangiformes,Carangidae,Megalaspis
Globigerinella calida,9.0292,72.8778,1972-03-10,Globigerinella calida,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinella
Oxynoe viridis,17.7,83.3,1861,Oxynoe viridis,Mollusca,Gastropoda,,Oxynoidae,Oxynoe
Paracalanus aculeatus,16.0,68.6667,1980-03-19T16:00:00Z,Paracalanus aculeatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Subeucalanus subcrassus,14.95,73.6833,1973-09-01T14:30:00Z,Subeucalanus subcrassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Pseudanchialina pusilla,13.05,85.35,1883,Pseudanchialina pusilla,Arthropoda,Malacostraca,Mysida,Mysidae,Pseudanchialina
Codonella acerca,20.26055556,69.14777778,2009-02-16/2009-02-23,Codonella acerca,Ciliophora,Oligotrichea,Choreotrichida,Codonellidae,Codonella
Nematopalaemon tenuipes,22.6,69.5,1893,Nematopalaemon tenuipes,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Nematopalaemon
Platyconchoecia prosadene,12.279999733,93.3499984741,,Platyconchoecia prosadene,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Platyconchoecia
Syringidium daemon,21.8493,88.5284,2017-03-11,Syringidium daemon,Heterokontophyta,Bacillariophyceae,,,Syringidium
Pleuromamma indica,20.0833,68.8667,1976-10-08T13:00:00Z,Pleuromamma indica,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Platanista gangetica,30.9536,70.815883,2001-03-20T08:22:00,Platanista gangetica minor,Chordata,Mammalia,Cetartiodactyla,Platanistidae,Platanista
Neonesidea woodwardiana,12.19166667,74.93888889,2007,Neonesidea woodwardiana,Arthropoda,Ostracoda,Podocopida,Bairdiidae,Neonesidea
Cypridina dentata,20.75,70.25,,Cypridina dentata,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina
Calocalanus contractus,9.1667,75.7833,1967-06-21T13:45:00Z,Calocalanus contractus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus
Cerithium dialeucum,8.27,73.04,1999/2001,Cerithium dialeucum,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Cerithiidae,Cerithium
Proceroecia procera,18.9799995422,85.25,,Proceroecia procera,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Proceroecia
Dysidea fragilis,8.283333333,73.03333333,1960,Dysidea fragilis,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea
Planaxis sulcatus,8.468407,79.095872,2002-01-01/2002-12-31,Planaxis sulcatus,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Planaxidae,Planaxis
Metapenaeus dobsoni,8.5,79.0,1878-07-02T12:00:00Z,Metapenaeus dobsoni,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeus
Canthocalanus pauper,21.0167,91.55,1971-11-20T18:10:12Z,Canthocalanus pauper,Arthropoda,Copepoda,Calanoida,Calanidae,Canthocalanus
Istiblennius dussumieri,17.656052,83.274907,1941-01-17,Istiblennius dussumieri,Chordata,Teleostei,Blenniiformes,Blenniidae,Istiblennius
Euchirella curticauda,18.45,72.2,1976-10-13T07:00:00Z,Euchirella curticauda,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella
Dactylosaster cylindricus,10.58,72.59,1988/1989,Dactylosaster cylindricus,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Dactylosaster
Alacia alata,16.8199996948,72.4800033569,,Alacia alata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia
Stenosemella parvicollis,12.55,80.18333333,2009/2010,Stenosemella parvicollis,Ciliophora,Oligotrichea,Choreotrichida,Codonellopsidae,Stenosemella
Pangasius pangasius,21.827841,89.1954232,2023-01-08,Pangasius pangasius,Chordata,Teleostei,Siluriformes,Pangasiidae,Pangasius
Decapterus russelli,8.939059,76.539979,,Decapterus russelli,Chordata,Teleostei,Carangiformes,Carangidae,Decapterus
Pseudanchialina pusilla,9.366667,93.833336,1883,Pseudanchialina pusilla,Arthropoda,Malacostraca,Mysida,Mysidae,Pseudanchialina
Caecitellus parvulus,17.4855,68.0247,2010-03-22,Caecitellus parvulus,Bigyra,Bicoecea,Anoecida,Caecitellidae,Caecitellus
Pterosagitta draco,10.62,92.98,1959/1965,Pterosagitta draco,Chaetognatha,Sagittoidea,Aphragmophora,Pterosagittidae,Pterosagitta
Conchoecetta giesbrechti,20.0,71.5199966431,,Conchoecetta giesbrechti,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecetta
Orcaella brevirostris,21.703521,89.2614816,2023-01-09,Orcaella brevirostris,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcaella
Calanopia elliptica,20.0833,68.8667,1976-10-08T13:00:00Z,Calanopia elliptica,Arthropoda,Copepoda,Calanoida,Pontellidae,Calanopia
Halocypris inflata,14.970000267,72.5299987793,,Halocypris inflata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Halocypris
Charybdis (Archias) truncata,11.4833335876,79.7666702271,,Charybdis (Archias) truncata,Arthropoda,Malacostraca,Decapoda,Portunidae,Charybdis
Ditylum brightwellii,11.13055556,75.8325,2006/2008,Ditylum brightwellii,Heterokontophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum
Plocamopherus ocellatus,22.6,69.5,1828,Plocamopherus ocellatus,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus
Parvocalanus latus,15.55,72.7833,1967-06-26T08:55:12Z,Parvocalanus latus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Parvocalanus
Sphaerosyllis bengalensis,10.0,93.0,1966-07-02T12:00:00Z,Sphaerosyllis bengalensis,Annelida,Polychaeta,Phyllodocida,Syllidae,Sphaerosyllis
Thryssa hamiltonii,9.978599,76.280501,,Thryssa hamiltonii,Chordata,Teleostei,Clupeiformes,Engraulidae,Thryssa
Sargassum polycystum,16.293368130974,84.102718975153,1996,Sargassum polycystum,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum
Keijcyoidea praecipua,12.02111111,75.25944444,2007,Keijcyoidea praecipua,Arthropoda,Ostracoda,Platycopida,Cytherellidae,Keijcyoidea
Cossura coasta,20.72,69.27944444,1998/2001,Cossura coasta,Annelida,Polychaeta,,Cossuridae,Cossura
Millepora platyphylla,10.94,72.29,1988/1989,Millepora platyphylla,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora
Tringa stagnatilis,19.766666,85.33336,1803,Tringa stagnatilis,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa
Acrocalanus gibber,20.8,89.8667,1971-11-22T07:30:00Z,Acrocalanus gibber,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus
Prionospio ehlersi,20.0,70.75,1999/2002,Prionospio ehlersi,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
Serratosagitta pacifica,17.2199993134,70.5199966431,,Serratosagitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta
Turricula javana,9.980663889,79.20305833,2011/2012,Turricula javana,Mollusca,Gastropoda,Neogastropoda,Clavatulidae,Turricula
Pleuromamma indica,18.3667,71.45,1976-10-13T14:00:00Z,Pleuromamma indica,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Amonardia similis,8.483333,76.91667,1866,Amonardia similis,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amonardia
Ophelia capensis,11.48333333,79.76666667,2011,Ophelia capensis,Annelida,Polychaeta,,Opheliidae,Ophelia
Pomatoschistus microps,21.7039168,89.2609951,2023-01-09,Pomatoschistus microps,Chordata,Teleostei,Gobiiformes,Gobiidae,Pomatoschistus
Turborotalita quinqueloba,9.0292,72.8778,1972-03-10,Turborotalita quinqueloba,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Turborotalita
Globigerina bulloides,15.5895,68.5795,1995-10-15,Globigerina bulloides,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerina
Rhinecanthus rectangulus,10.07,73.62,1969/1980,Rhinecanthus rectangulus,Chordata,Teleostei,Tetraodontiformes,Balistidae,Rhinecanthus
Doxomysis nicobaris,10.0,95.0,2002-07-02T12:00:00Z,Doxomysis nicobaris,Arthropoda,Malacostraca,Mysida,Mysidae,Doxomysis
Leiodon cutcutia,21.912,95.7741,,Leiodon cutcutia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Leiodon
Mena limnicola,19.766666,85.333336,1915,Mena limnicola,Cnidaria,Hexacorallia,Actiniaria,Halcampidae,Mena
Coptodon zillii,21.7565804,89.2230583,2023-01-08,Coptodon zillii,Chordata,Teleostei,Cichliformes,Cichlidae,Coptodon
Clausocalanus arcuicornis,20.6833,88.3667,1971-06-25T19:25:12Z,Clausocalanus arcuicornis,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
Sunetta scripta,15.0,90.0,1758-07-02T12:00:00Z,Sunetta scripta,Mollusca,Bivalvia,Venerida,Veneridae,Sunetta
Euchelus edentulus,12.50029,92.75004,1880,Euchelus edentulus,Mollusca,Gastropoda,Seguenziida,Chilodontidae,Euchelus
Amphioplus (Unioplus) caulleryi,15.66666667,80.96666667,1899,Amphioplus (Unioplus) caulleryi,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus
Trichaster flagellifer,14.87,96.65,1963,Trichaster flagellifer,Echinodermata,Ophiuroidea,Euryalida,Euryalidae,Trichaster
Cucullaea labiata,11.35,79.83333333,2010-02-01/2011-01-30,Cucullaea labiata,Mollusca,Bivalvia,Arcida,Cucullaeidae,Cucullaea
Acromitus flagellatus,15.0,90.0,1903-07-02T12:00:00Z,Acromitus flagellatus,Cnidaria,Scyphozoa,Rhizostomeae,Catostylidae,Acromitus
Etisus dentatus,12.5,92.75,1785,Etisus dentatus,Arthropoda,Malacostraca,Decapoda,Xanthidae,Etisus
Parascolopsis eriomma,8.6626,78.3192,2007/2008,Parascolopsis eriomma,Chordata,Teleostei,Eupercaria incertae sedis,Nemipteridae,Parascolopsis
Telonema subtile,14.5536,70.0128,2010-03-30,Telonema subtile,Cryptophyta,Telonemea,Telonemida,,Telonema
Erythrobacter litoralis,14.6059,69.9776,2010-03-30,Erythrobacter litoralis,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter
